Term,Frequency
wsecretions,2
wheezingro,2
deteriorated,1
lobectomyworse,1
cxry,6
qh,1
vertical,9
intrabronchial,6
conversely,1
redistributed,3
imply,1
diseaseatelectasis,2
cptpul,2
toiletpls,2
atelectasisand,1
cha,2
reoperation,1
accumulated,1
thickenings,3
actually,7
porcine,1
stenosisnon,16
stippled,2
intervasl,2
negligible,2
infiltra,1
oxygenate,8
oxygenating,5
obstuction,7
magnetic,24
scintigraphic,6
emphasematous,1
lmain,2
perfom,3
inseparable,23
thicker,4
emgulfs,1
beyong,1
projectign,1
fear,1
embolize,32
superificial,2
lobectemy,1
bronchscopy,1
changeptx,4
thorocotomy,21
doxycycline,9
pleumothorax,1
tachybrady,1
symptomatic,7
ctsposterior,2
ptxplaese,3
hemlick,1
heimlich,1
vws,6
tapered,2
secondarily,1
anticubital,1
phlebitis,6
dropped,9
doxy,2
qd,3
xd,2
impinges,5
tommorrow,7
chemoxrt,11
interestingly,2
reasonable,2
petcts,2
anbormalities,1
interstital,3
frontotemporal,11
subinsural,1
disorientation,2
asymmetry,16
lingulectomy,5
pneumonits,2
chesttube,5
octreotide,2
somatostatin,1
preferably,2
surronding,1
hemorrhagehemtoma,1
inflitrate,4
esopagus,2
restaging,7
grounds,3
bifurcations,5
ulcerated,8
impending,13
hyperenhancement,4
hyperenhancing,11
transsection,2
erodes,4
bronchoscope,5
eightieth,1
percentiles,1
preceeding,3
conclusive,7
esophag,1
caairway,8
feature,8
shallow,14
obesity,4
bronchoscopypossible,1
trachealairway,1
breating,1
occludes,13
extrabronchial,6
azygoesophageal,12
newlydiagnosed,3
allergic,10
infiltratepneumonia,1
lays,1
sqaumous,1
sufficiently,4
osa,3
wk,2
addmitted,1
pericardiocentesis,58
lungcardiac,1
dyspnic,1
reomved,1
effusionsbibasilar,1
effusionsatelectasis,2
midcarina,1
increasin,1
indental,1
shortest,3
consisitent,2
ijline,2
ijcentral,1
sobeval,2
coded,7
seized,1
serpentine,2
luxury,1
ears,5
diagnostically,1
malformation,13
oxgenation,5
confluentrounded,1
asymetric,1
plmt,13
gastromy,5
entroclysis,3
broncoscopy,3
spent,1
anything,1
mouth,5
failing,4
drinitials,4
tfasteners,6
tack,1
kumpe,20
dilators,9
schetty,2
frenc,1
flexitrack,1
processing,18
method,2
aspirting,2
oropharygeal,1
tone,4
aspirations,2
oropharngeal,1
modified,2
honeythick,2
ambrosia,1
textures,2
dalayed,1
managing,3
spillage,8
postswallowing,1
coughed,1
prompting,3
oro,2
oxgenating,1
cpr,3
frac,1
gie,1
insertionplease,2
midchest,1
mediastinalhilar,3
rds,3
retubation,1
precludes,3
manifested,9
ai,1
wat,1
smoothly,5
assymetrical,1
postcath,3
places,5
whypoxiaro,2
prohance,5
diagonallyrunning,1
triple,28
dislodgemen,1
ardsild,2
ent,5
reseection,1
uip,6
hisotory,1
housestaff,6
immobile,1
ptxlobar,2
ptprevbious,2
cxrs,9
cvp,6
manipulated,5
abovestated,1
extubationintubated,1
pleurevac,5
desaturatio,1
desaturization,1
wevolving,2
ardsevaluate,2
carries,2
tubelocation,1
acut,1
ts,6
postion,5
detachment,3
resex,1
ressection,6
midleft,3
reticulopattern,1
broncheal,6
barrier,1
widest,3
outer,19
syspisiouc,1
contiguity,3
midtrachea,2
ringlike,2
incorrect,3
sunrise,1
putamen,5
biochemical,1
pursued,3
consolidating,2
effusionpna,1
recheck,4
repo,3
dullness,2
poststenotic,11
alports,3
otitis,3
media,7
alport,1
pneumotho,2
persistnant,1
pneumothoraxpulmonary,2
guidwire,2
aereated,2
tibfib,3
tibiafibula,2
horizontal,8
intercondylar,1
tibiasfibulas,1
tibia,6
articular,9
fibular,5
deformed,5
bowed,1
fibula,4
metaphyses,1
cirrhosis,101
encephalopathy,7
varices,25
intubtation,1
opens,2
eyes,3
commands,4
rarely,3
moves,1
drinker,1
subdurals,1
fracturex,2
fxs,4
maneuvers,6
cooperation,4
ween,2
shrunken,7
esclude,1
cirrhotic,9
command,1
consitent,1
variceal,1
varicele,1
contoursa,1
starting,6
sfa,2
continiuity,1
pedal,4
llung,7
jvp,16
postlobectomy,4
reminder,2
abdomenpain,1
midstomach,1
iud,1
areation,7
blue,4
fluorscopic,1
distresssp,1
aveolar,1
dm,12
extremites,1
insonation,1
placemen,5
rub,3
tenuous,2
dop,11
abdpel,17
renalplease,2
ri,6
elucidating,1
discrepant,1
insipiratory,3
dramatic,12
comply,1
constriction,3
transfered,9
emperically,1
canceled,1
says,1
periventricularwhite,1
calcs,3
outlet,16
urologic,3
ao,8
ectasiadissection,3
strandingedema,2
ideally,2
nodularappearing,1
hydroureteronephrosis,2
pelves,1
calices,2
gamma,5
infectioninflammation,2
indolent,2
allows,2
yielded,3
cancercopdpneumonia,1
decadron,8
decr,3
azm,2
opacitites,1
basalar,1
opactites,1
recurrentacute,4
pneumoniasepsis,10
attenuations,1
umbilicus,1
corticomedullary,7
excreting,3
vessicles,1
fascia,4
buttocks,1
congenital,7
dysplasia,2
obtructing,2
refluxing,3
surround,6
materials,5
manubrium,8
reassessed,4
effussions,2
effusionatelectasis,3
effusionright,1
ropna,2
recommeneded,1
insufficient,6
nonguided,1
night,7
prebronch,3
reaeration,10
perma,1
pacers,1
paralleling,7
manifestation,8
meantime,17
unrelated,16
du,1
pud,3
peptic,4
inside,5
accommodation,1
havent,1
pedicular,2
undetectable,2
perfor,1
speckled,1
br,7
periscapular,2
toxicity,9
scapular,4
hydrated,1
hydration,7
metaststic,1
painful,3
coronoid,1
ling,2
rehab,9
evlauate,5
ronchi,1
lasix,4
gtt,18
ggjgi,1
flour,2
globular,4
worsen,6
cardiopericardial,4
silhoeutte,1
expectorating,1
postthoracotomy,3
slightl,1
phx,2
pneumia,2
crowded,3
periinfrahilar,1
combo,2
effusionatelectconsolidation,1
effusionoverlying,1
appraoch,1
leison,1
plea,4
ctaassess,3
discovery,8
rllobectomy,15
orthostatic,3
persisentent,1
recognition,2
redo,15
sicu,11
rllectomy,1
hyponatremia,17
calcificaiton,1
wtih,6
demanded,1
spherical,4
grandson,2
refuse,1
yearoldwoman,2
airaveolargram,1
unsteady,5
osseus,1
imprression,1
betterr,1
ss,6
aspirating,7
sip,2
baium,1
straw,9
consecutive,3
sips,10
reflex,3
elicited,3
symptomatically,1
knife,2
hw,1
delays,3
intensely,4
usage,5
anx,1
fdouble,1
cantonese,3
indents,10
flattens,1
placementokay,2
normalcaliber,4
ctpa,10
multichamber,3
partiallycalcified,1
oneday,2
gases,1
aggressively,1
resuscitated,2
trends,1
prefer,1
svcno,1
blending,2
drawn,3
columnation,1
dilate,7
gyral,4
liverlungs,1
intrathoracically,1
opacificaiton,2
mlnd,1
hypotensionbradycardia,1
bradycardia,15
hylar,5
debridementstent,2
whx,3
debridement,60
oliguric,2
empty,12
trapped,10
placmeent,2
brachiocephalicsubclavian,2
women,2
subcavian,2
causethis,1
upct,1
basithoracic,1
basicervical,1
deviates,4
unstable,5
ot,2
illdefinition,1
welldefined,21
coursed,2
pneumothoraqx,1
resucitation,2
juxtamediastinal,3
worrying,1
rmlobe,3
compl,1
wpossible,2
regressing,3
regression,8
syndome,1
palliative,19
deviating,5
wnew,16
cvlcheck,2
reasons,3
cancerairway,34
requisition,13
eventhough,1
desirable,2
pneumoectomy,6
tn,4
iiia,18
n,7
pads,2
vq,2
massmets,2
complaining,5
icp,7
posterofrontal,1
demyelinating,6
uterine,8
copy,18
bulkiness,3
forbers,1
imression,1
ammenable,2
lvats,6
asess,6
operator,1
airleak,8
biasilar,1
thinner,1
nonaggresive,1
thinnerwalled,1
thickeningnodularity,1
ruleout,6
acalculous,6
ccy,6
psbo,6
ttube,6
invaluable,1
deflated,5
assumed,5
compliance,3
coupled,1
intimately,3
ribsright,1
pleurallybased,2
packed,1
repairomental,1
wellseen,2
septi,1
dystrophic,13
characteriza,1
tion,1
poro,2
mv,1
broncho,7
radiogaph,1
percutaneus,1
bronchopulmnary,1
midsternum,1
cardiogen,2
bronchoesophageal,17
cholangio,1
cholangitis,9
cholecystotomy,3
acalculus,2
cholangiogram,2
percutaneously,4
inject,4
inspection,2
layed,1
pooling,8
insert,3
resutured,1
mediumsized,1
hypercarbia,19
redirected,3
statusro,4
hypo,1
wheelchair,1
supracondylar,2
plateau,1
missed,6
introduction,4
perihilarlocation,1
instruments,4
anymore,3
arrives,2
run,9
caudally,7
hetergeneously,1
deforms,3
iliacs,5
endometrial,8
reexpansi,2
thereby,1
endocrine,3
thickeningfungal,1
infiltr,1
corticosteroids,4
configurational,5
calcium,5
largesized,3
believed,5
expression,1
brushing,1
bilobular,2
selfdcd,2
hilarsuprahilar,3
transfemoral,2
resistance,10
hydratiun,2
spetic,1
hardcopies,1
documenting,10
vteseptic,2
colorpulsed,1
eleven,2
bruch,2
prebronchoscopy,7
suspended,1
maneuver,6
apicalposterior,2
regards,2
strict,1
synchronous,4
apicoposterior,17
abcess,21
neg,5
irregualr,2
vasculitis,6
cardia,5
sizerelative,2
bt,2
processedemaeffusion,2
residing,2
beside,3
curently,2
bleedtracheal,6
seenwithin,1
happy,4
fib,5
pills,6
dchf,2
infective,5
multinodular,6
adenomas,7
kkaliannan,3
relaxational,1
subintimal,1
verbally,1
contactname,6
dlpp,2
suffice,1
ia,5
fluiddebrismucous,2
nontunneled,8
rn,5
eyeh,8
specified,1
say,9
hypercapnia,2
facing,1
resportory,40
rneumothorax,2
managent,7
infiltrateconsolidation,2
assessments,1
suboptima,1
cardiopulmpmaru,2
intubate,2
pulsatile,4
nstemi,6
diverticuli,7
monthyear,1
pneumatothorax,1
wi,6
revisualization,2
thoracolumbosacral,3
poly,4
rad,9
emg,1
radiculopathy,2
polyradiculopathy,2
exaggeration,3
medullaris,6
sacralized,1
scheme,1
placethe,1
utmost,1
exutabtion,3
ctube,5
hippocampal,1
brachycephalic,1
tflair,8
thinsection,1
microadenoma,1
infundibulum,1
compressibilitythe,1
sah,22
hemorragic,2
surroundng,1
icb,2
contast,1
falx,27
occipitotemporal,1
bright,4
flairweighted,1
compartments,8
peritumoral,4
nmoe,1
among,2
rexpansion,3
dvtobstruction,2
branchial,1
patchiness,4
smallvessel,3
unsuccesful,3
incised,1
blade,3
jtipped,3
silk,11
nonobstetric,2
transvaginal,3
cervix,7
neurologic,12
abmormal,5
shsf,25
transabdominal,3
adnexal,11
lmp,1
nabothian,2
toosmalltocharacterize,1
supraacetabular,2
consistant,1
apiration,2
endobronchoscope,1
endoscopic,7
centrallocated,1
disappearance,2
requiremen,1
coarses,1
inconclusive,2
larynx,2
spilled,1
triggering,1
cadiac,1
swalling,2
abilityaspiration,2
inconsistent,2
occuring,2
piece,1
meal,5
protection,4
steady,1
rewiredto,2
pthx,5
acalc,2
fibrosiscirrhosis,2
abrasion,1
wasnt,1
resectionro,2
ardspneumonia,1
effusio,4
hemetemesisgastrointestinal,7
chfpulmonary,2
esophagealmediastinal,1
hemetemesis,2
esoph,8
ctcp,2
aortoenteric,5
melena,4
areahemorrhage,2
displacing,11
aspirationhemorrhage,4
melana,2
displaces,10
craniocaudad,8
loosp,1
gastrosotmy,3
esophagealparaesophageal,1
gastrojejunostomy,6
son,7
tied,2
multipurpose,3
superstiff,5
amplatz,20
confirming,14
stitch,2
contrasts,1
involvr,1
posteiorly,1
perisplenic,4
notedthere,2
basic,8
treating,1
aortography,3
bovine,3
intyernam,1
mickeeson,1
maneuvered,1
collateralization,4
pursue,2
fasttracker,1
superselectivel,1
catheterposition,1
performance,4
refilled,1
arttery,1
radicles,2
forego,1
controlled,3
older,8
basethe,1
penumonectomy,1
resolve,6
dialated,3
woth,3
fliud,3
loose,6
tympanic,4
inraabdominal,1
fecalization,2
mpr,4
coronaries,5
compr,1
kneepain,2
foreshortening,1
skinfold,5
wmet,2
supbulmonic,1
collapsedconsolildated,1
worrysome,1
reccommended,1
arthroplasty,3
geographically,3
fragment,20
houseofficers,1
illeus,2
uo,3
folds,7
bka,1
tol,2
ntg,1
dark,7
obstrustion,2
ellius,2
tympainc,1
distened,1
infiltrateplueral,2
rhoncorous,1
rhonchus,1
obliquely,4
chfeffusionpna,2
priorpositional,1
palcement,6
bo,2
midgastric,1
portalhepatic,2
pretips,1
hit,1
copdlung,2
gantery,1
pca,6
percheron,1
proteinaceous,7
ascertain,6
pecr,1
pot,2
opbstructive,1
sed,2
cannnot,1
exclufe,1
exactly,2
reshoot,2
onehalf,3
email,4
commented,1
ovr,2
mediastinitis,15
amdct,1
bypasses,1
modalities,5
mediatitinis,4
pec,2
wdecreased,2
bsro,2
lay,2
vol,11
csrdiac,2
posture,1
pseudotumor,2
quantification,2
labored,8
coughing,11
consolidationseffusions,4
bilobar,2
ldh,2
frame,27
levaquin,2
reformatting,3
intraveneously,1
fails,1
bronchiestasis,1
nearby,3
tympanetic,1
effusionshortness,5
pericardotomy,2
changerestaging,3
concentrated,3
shotty,4
phlebotomy,1
stableslightly,1
periacardial,1
wfilling,1
aebc,9
carotidvertebral,2
deficits,7
fkh,1
cerebelar,1
lesiosmetastasis,1
avaiable,1
star,2
coverage,3
arteriovenous,18
malformations,2
intermed,6
comprised,2
wellevaluated,3
ureteralvesicular,1
hernial,2
cancerms,1
histological,1
partner,1
sister,1
cleansed,1
cores,3
cellularity,1
hida,8
historyshortness,1
earlierthe,1
suspectedpatchy,1
jp,5
emptied,3
complement,1
taped,2
labelled,4
bilirubin,3
never,1
innominatesvc,1
elev,1
effusionmediastinal,8
roughlly,1
hxlung,5
effisions,5
effusionpneumonia,3
featureless,5
cancernauseavomiting,20
giv,2
gastroparesis,5
wsbp,1
nsclung,1
cavernoma,2
mesentric,5
dlrc,23
thinning,7
infarctioninfection,1
ctv,2
retroaortic,2
ganglion,2
cholecystitsi,2
cholelithias,1
wabdominal,1
textural,6
triggered,1
mmhg,6
ischemiarecommend,1
dehydration,19
cachemoxrt,1
xrtchemo,1
paob,1
kidneysno,1
hydronephrosiscyst,1
tunnedled,2
vomitting,8
statement,1
surpervising,1
pheresis,1
tunnelled,2
tunneled,19
cathhemoperti,1
dehydrationchemo,1
discharge,3
chemotoxicity,1
patiens,1
tunnel,5
nicks,1
flouroscopic,8
hemodialysis,18
hematomabruitbleed,2
ooze,1
identifiable,9
atn,2
crit,2
galbladder,1
purely,2
phoned,2
va,2
collapsepneumothorax,2
wdebridement,1
mediastinalmass,1
epicenter,4
slitlike,2
degrees,7
encompasses,2
breathchest,7
cardiodiaphragmatic,1
practically,3
outlines,4
clarity,1
telelphone,1
alveolarbronchiolar,1
enlargedlarge,1
suvmax,17
rightparatracheal,1
precarina,2
lowlevel,3
abdominopelvic,3
genitourinary,1
reevaluated,5
desating,5
lar,8
diverting,14
colostomy,20
tacchycardia,8
abovedescribed,2
ileostomy,3
incisional,3
lots,2
fluids,19
effusionpleural,2
metastasticpneumonic,1
hygroma,2
tubed,6
previouslydescribed,2
extubate,3
diseaseeffusion,3
lungrectalbladder,1
tenday,1
flanks,2
spacing,20
multifactorial,4
pulmon,1
affects,1
lumg,2
sense,1
infitrate,3
failurefollow,1
contributed,2
pulses,3
recordings,4
flatline,2
metatarsals,1
jmbu,1
gsv,1
aureus,2
imposed,1
reexspansion,2
obstructivepulmonary,13
diseasepleural,13
etiologymass,1
prev,5
posttrach,6
virtual,4
occlusioncompression,1
acutetosubacute,2
transformation,22
neurology,9
saturati,1
effusionleft,81
parenchymamass,2
td,13
occulsvive,13
reinflated,2
reexpension,6
middorsal,2
hemoptisis,2
chestmets,1
midpons,1
partiallyvisualized,1
peep,3
visibility,3
spite,6
chfinfiltrate,2
wfever,1
eviden,3
curves,4
forming,4
sigmificant,1
pco,6
failurecollapsefluid,2
overloadchf,1
failur,2
approprialy,1
gastrostomy,54
evaluted,2
resistant,7
regurgitated,2
liqs,2
fluroscopic,1
ingestion,4
phonation,1
pill,5
comprehensive,3
pneumothoraxthe,1
rereplaced,1
soluble,4
gtubefoley,1
overhead,2
eefusion,1
pleurral,1
failurecollapse,2
medstinal,2
lint,1
patien,2
stuctures,1
hyperkyphosis,1
cordless,1
colapse,2
memory,8
stellateshaped,1
alteration,8
ijswan,2
vi,15
inspirational,1
exceeding,2
eu,7
stridorous,1
breathingrespiratory,1
lovenox,19
pneumopexy,2
acuity,3
wd,15
rend,14
ytube,4
ctas,1
navigation,2
pexy,1
dev,3
bilobectomy,53
hydroneumothorax,1
inferomedially,2
resectionreconstruction,9
goretex,15
tex,1
intervbal,2
chestt,1
undergo,3
morphological,1
thth,3
segmentalsubsegmental,3
maximalintensity,1
locule,6
syndesmophytes,1
ddbc,2
bit,7
interal,2
referenced,1
tractional,1
tracheomegaly,1
effsuion,6
hpim,2
amiodarone,2
diaphoretic,3
subscapular,3
similarappearing,2
aortopulmonic,7
bronchosc,2
cancerpleural,7
chemorad,3
mixture,7
todayaa,1
resoulution,1
coarsened,5
tubeof,1
tomponade,21
thoracics,14
sbp,9
xferred,6
ffp,16
prbcs,7
vit,6
relapsed,1
bigger,7
retrospectively,2
wst,2
concentrically,1
singleview,5
gradiant,1
precardium,1
suturing,1
reviewing,6
established,9
variability,3
complet,5
hysterectomy,4
respirations,2
hemorrhageedema,5
pneumocephaly,2
sched,2
schedualed,4
hypervascular,16
vasculaturethere,1
av,6
dizzyness,1
noncon,5
mildmod,2
tnsillar,1
fluidmucosal,1
stu,2
poteriorly,4
suboccpital,1
tonsilar,1
jxn,5
stateinflammation,1
sanguinous,1
slowing,2
neolasm,1
mmho,2
ettogt,2
holes,5
previouslypostoperative,1
intracrania,2
embolu,4
ptt,5
dates,3
opposed,12
processed,5
volumerendered,7
varients,1
improperly,1
restarted,5
emoblism,1
arriving,1
intimal,4
interventricular,5
echocardiogram,5
heaprin,2
bleeds,4
modtolarge,1
wallentering,1
requests,6
huddle,27
ultrasoundguidance,2
outlined,5
venatech,7
saved,2
digitally,2
duplication,3
constructed,7
invasionsda,25
infiltratelung,2
pp,2
pd,5
fell,8
insufflating,1
infiltratecollapseoverload,1
teh,3
aeuration,2
persisent,1
dobboff,1
interchanged,1
statusright,1
experienced,6
transection,1
copllapse,1
compressiblity,1
irght,1
frankly,1
sroke,1
thrombolysis,1
inspissated,4
insula,5
effacemd,1
averaginng,1
cerumen,1
prostheses,4
ci,1
effusionsinfiltrates,2
consolida,1
thrombotic,1
deflating,1
diseasecoronary,19
graftsda,15
effusionprocess,1
institutions,2
intraaortic,6
assistant,3
sity,1
moderated,1
interaortic,2
tent,4
xlap,8
xlaplysis,1
wenteric,1
wks,10
lysis,13
watch,2
cancelled,6
gastroenteritis,3
bullet,1
cardio,3
cephlic,1
cortices,1
pneumonectomyevauluatero,2
insertioncheck,4
widebore,1
indicator,1
uturn,1
malplaced,1
aplateral,1
judet,1
acetabular,8
hematomahemothorax,3
rpleural,8
adbuctor,1
dislocations,4
motorvehicle,1
cemented,1
loosening,4
columns,1
characterizing,1
nonspecificappearing,1
acromiocalvicular,1
ligamental,1
evlaaute,2
intrathecal,7
consciousness,7
thorc,2
proximalmost,2
subclav,13
rsbi,1
ec,1
confines,13
infecti,2
feversleukocytosis,1
excess,1
esophagous,3
adneoca,3
lump,1
endexpiration,1
endinspiration,1
hliar,1
draws,3
analgesia,2
cannulated,7
withdrew,2
bandaged,3
hsv,4
encephalitis,12
hippocampi,1
gyriform,1
herpes,7
simplex,2
paraneoplastic,5
limbic,3
breakdown,1
cases,1
newworsening,2
pathogen,1
opitray,1
intraarterial,2
dsob,1
atelecatsis,1
hemmorrhage,1
ideal,2
creat,1
ductus,2
reimaged,1
breathholding,2
fluiddebris,3
frontaltemporal,1
metastitic,1
lobulations,1
vaculature,1
endobrnchial,1
mrangio,4
flight,2
incisura,1
aqueduct,1
sylvius,1
inverts,1
mediosuperior,1
hematogenous,6
confluency,1
plugobstruction,3
rhythm,2
brochograms,1
collape,1
atelectasisinfiltrate,6
consolidationinfiltrates,1
apprent,1
signficant,5
repeating,4
changecontusion,1
intubationcheck,4
positionpatient,2
pacub,2
chfto,2
rounds,15
placementro,2
trea,2
sling,1
plt,2
intent,2
clinicians,10
fellows,1
file,4
instilling,3
venotomy,10
prolene,4
noncutting,1
vicryl,9
subcuticular,5
steristrips,2
conspicuously,2
nonmasslike,1
hyperattenuated,2
preroperative,2
wandmprage,1
ativan,1
lift,1
metastasize,1
casteging,1
swellingeval,1
massich,2
renders,2
apply,7
discovered,5
cvlto,2
cahypoxia,2
aplasia,1
comparisoni,1
evaluat,3
ccqc,1
fibrillationtelemetryhypotension,8
parapneumonic,11
possiblity,2
meidal,1
lymphangytic,1
asociated,1
supraazygous,1
hematology,2
glomerular,1
filtration,1
premotor,1
presumptive,1
coexistent,3
infiltrateeffusionpneumnia,2
postpericardiocentesis,1
pleaseinterval,2
consoldiation,2
inceased,2
infiltratesscarring,1
scarringinfiltrate,1
infiltratescaring,1
hardening,3
anoxic,9
stagingpt,1
putaminal,1
dialted,1
extubatedcheck,2
nipple,2
reactivation,2
efusion,3
placementunable,2
pneumoth,1
invasionnarrowing,1
pink,7
intshthepfxd,1
curvedoctor,1
awy,1
aspergilloma,2
proposed,11
procecure,1
hemodynamics,2
preplaced,1
flouroscopy,3
injections,9
mpa,2
oprolene,1
flexitract,1
bandage,3
ambisome,2
leftside,6
airperf,4
fi,2
adnocarcinoma,2
metoprolol,2
preesophageal,1
hoesophageal,1
coefficients,1
orbit,7
heartburn,3
inverted,1
edemaparticularly,1
outpouchings,1
alternative,16
typhlitis,1
concerns,5
lactate,15
monitoringsurgical,1
rea,1
coagulated,1
residually,2
attempteed,6
earliest,2
consolidationempyema,3
postiv,6
mammography,1
welldemarcated,1
atelectasisaspiration,4
mediastinumshifting,2
tracheaevidence,1
superomedially,2
heidiaphragm,1
postlower,1
infilpneumothorax,2
amnot,2
doneplaes,1
wboth,1
doneplaese,1
serousappearing,1
unusul,1
maximize,1
changeto,6
impede,2
evacuate,2
ptxto,2
visceropleural,2
rfa,13
lungspleura,2
wtube,6
placmentclip,2
guidmonit,2
radiofrequency,5
anesthesiology,4
cooled,1
milliamps,1
temperatures,2
postablation,2
postablative,1
etcneeds,2
discernable,4
worseningrespiratory,1
basally,4
identification,3
dt,8
cecretions,2
occupied,6
transcath,12
intravas,9
venography,9
venogram,56
opacificationflow,1
preserving,1
reinserted,2
alongside,3
catheterize,18
negotiated,3
svcgrams,1
narrowingencasement,2
smart,4
lieu,1
followuprequest,2
sv,1
unchange,1
radiologically,2
fromn,1
ischemiapl,2
belly,1
guiaic,1
abovebelow,1
ischemiaplease,1
perforationmass,2
obstr,1
liverbonesbrain,1
levoflagyl,1
frontoethmoidal,1
com,4
infradiaphragmatic,6
replacing,8
hemithoraces,7
vision,9
content,6
metastic,15
stereotaxis,18
multbrain,2
aksb,10
submm,14
follicular,1
checks,1
remooval,2
pneuomo,2
wpneumothorax,6
pneumotx,2
chg,3
wchest,5
caudad,1
verfy,2
handling,1
watersoluble,1
ch,3
noncaseating,2
effuions,1
extenuating,1
atelectasiscontusion,1
fivemm,1
tags,1
locally,5
malignantappearing,9
infectioun,1
histoplasmosis,2
instrument,16
crosstable,3
accumulaiton,1
concurrence,1
thereafter,2
stt,2
cmc,5
terminatio,1
overloadearly,1
rehabilitation,3
afterwards,3
fluoroscopicallyguided,1
diseaselinear,1
regional,13
hypercellular,6
stroketransient,13
mixedage,1
exhibiting,1
multi,2
wrapping,1
ribcage,1
pnaeffusion,4
faild,1
ossified,2
exuberant,1
intubatedsedated,2
cki,2
bronchiolitis,11
biopsyproven,6
insulin,2
displaying,1
paratrachealesophageal,1
vicinity,4
periphepatic,1
bows,1
food,4
bonesoft,1
notethe,1
mpowell,3
seriously,3
transient,3
regurgitation,8
messenertic,4
gda,3
glide,11
angled,6
stiff,4
decortication,25
fallen,3
rlll,1
emppyema,1
verifying,5
registered,2
yellow,5
participated,5
stamp,2
seroma,13
paracaval,2
putting,6
segmenal,1
empyemafluid,3
presurgery,1
injecting,3
disturbed,1
wew,1
juxtacaval,2
retarded,1
effusxion,2
hypotn,1
returns,8
collapseinfiltration,4
cryo,2
adenocarcinomay,2
peho,6
rcc,4
collapsedinfiltrated,4
patulous,7
alkalosis,4
multistation,2
endobronchially,2
bronchusit,2
endobroncheal,2
infiltratepostobstructive,4
emerg,2
nodularmasslike,1
awoke,1
ros,1
nodulesmasses,2
falldehydrationaltered,5
statusnew,1
pareital,1
anbormal,2
osmotic,1
myelinolysis,1
cancerrespiratory,18
rms,28
suq,2
juxtaphrenic,2
dopoff,3
assese,1
distends,5
postrms,2
costoprenic,1
mucomyst,3
stented,18
tfmeds,2
rns,4
panting,1
displays,22
subcarinally,3
harvest,2
warrant,8
obstructiveradiation,1
isthmic,1
lobeen,1
bloc,3
rightshifted,1
overloadpneumothorax,2
block,15
invaded,7
changeover,2
decorticationsp,1
dictating,6
righthward,1
slong,1
midback,1
chestwall,1
rightuper,1
clean,4
sealpls,5
soonertx,1
aspirationinfection,1
obstructionlung,12
contribution,10
collapsesp,1
cardiacmediastinal,1
proved,5
wednesday,4
utility,1
promiennt,1
sickle,1
sublenticular,4
configured,2
inflamamtory,2
lobeparahilar,1
plse,2
threeminutedelayed,1
righe,1
houstaff,1
wedema,1
archived,1
possession,1
kindly,2
sickleshaped,1
complexes,2
midlined,2
contamination,6
cleaning,1
afibrvr,1
aleft,1
retropulsed,15
vacuum,19
phenomenon,19
osteoporosis,1
kyphotic,8
sencondar,22
spinesda,22
separated,7
construct,1
corpectomy,14
transpediculate,1
transgress,2
elmbolism,5
spacers,2
cervicalupper,2
overloadmild,1
tomoderate,4
edemaother,2
cardiomedistinal,1
silhoutette,1
overlaod,1
peri,3
moderatelylarge,1
thrombis,1
nearing,1
psot,4
limtied,1
brochovascularseptal,1
chests,1
excludeddiffuse,1
pneumothor,1
tahn,1
hide,1
accumulate,2
todayinterval,2
bleedingmidline,1
asc,2
acutesubacute,6
fluidfluid,4
acoustic,2
schwannomas,3
characteristic,5
gcs,3
waortic,3
ctro,3
disection,3
suprarenal,1
ectasiaaneurysmal,1
massplease,3
protocolwand,1
mappingplanning,3
parietaltemporal,2
discogenic,2
returnsoett,2
placeme,3
capping,3
rightto,1
behaving,2
melanin,2
perirolandic,5
temporooccipital,5
susp,3
pelvicinguinal,2
reduce,2
yield,3
wholebody,2
metabolically,3
onlyplease,4
temporo,2
cape,2
ptxpls,1
ampm,1
superimposition,1
pneumenectomy,3
pnemonectomy,2
fluidhemorrhage,1
freelylayering,1
ensuing,2
chemical,11
thoraic,1
ettro,2
hissing,2
dise,2
diseaes,1
multislice,2
acquiistion,1
cicatrical,1
parasept,1
endstagehoneycomb,1
metastasislesionsda,3
bleedplease,4
administrated,3
dxd,4
lunghemoptysis,1
nodulessda,40
lulobectomy,41
reinflation,5
converted,6
fdgpet,4
dispersed,1
superoanterior,1
tight,5
concentric,3
sacculations,1
indirect,10
ossifications,1
isolated,8
producing,27
hemmorhage,4
massopacity,1
nonsc,1
pacemaekr,3
intracardiac,2
generator,1
hypot,1
dypsnea,1
anticoagulatoin,1
dehydrated,2
decro,2
fluffy,1
leftdominant,1
confused,4
midto,2
narrowss,1
cxralso,1
eet,4
densee,1
stomachduodenal,1
hypoactive,1
secondthird,1
des,3
tbm,6
fev,2
esrd,13
hypereflexia,1
myoclonus,2
hyperreflexia,1
strike,3
radiopacity,2
leftsda,120
tenth,8
hilarly,1
downwards,1
practitioner,2
something,1
wrt,1
tilting,1
removedeval,2
pac,2
bms,1
ligaments,2
suspicous,1
smallest,2
insensitive,7
diseases,2
lateenhancing,1
rendering,20
wpost,14
wsclip,12
mmolkg,7
subtraction,13
iva,2
ivb,11
hemangiomas,8
oop,1
hyperplasia,14
forptx,2
ul,1
inplace,1
improve,6
tenacious,1
chylothorax,2
exploration,7
takeback,1
ligationleft,1
extrapulmonary,1
