Pretty Name,Frequency,Entity Type
Restricted,2,ORG
p/w ICH,2,ORG
ectopic,2,CARDINAL
Recommend CT,2,ORG
KKgc TUE,2,PERSON
DHT,2,ORG
L PTX s/p IR,2,ORG
Language,2,LOC
Thursday,2,DATE
Respiratory,2,PERSON
Wegener,2,ORG
LAT & AP,2,ORG
hernia,2,LOC
"hernia
 Admitting Diagnosis",2,LOC
Precarinal,2,ORG
the ethmoid air cells,2,ORG
Size,2,PERSON
JRld SUN,2,PERSON
Rij,2,PERSON
"ACUTE HYPOXIA
 REASON FOR THIS EXAMINATION",2,ORG
Vocal,2,FAC
Language Pathology Division,2,ORG
Seven,2,CARDINAL
Neurosurgery,2,PERSON
cns infection s/p evd,2,ORG
SINGLE UPRIGHT VIEW OF THE,2,ORG
Intracranially,2,ORG
s/p MI s/p L,2,ORG
HA,2,ORG
a few days,2,DATE
Debhoff,2,PERSON
MONDAY,2,DATE
BOLD,2,ORG
"hernia
 REASON",2,LOC
CLL,2,ORG
Left hemidiaphragm,2,LOC
"NSLC s/p cyberknife
 REASON FOR THIS EXAMINATION",2,ORG
TLC,2,ORG
cavitary lung mass,2,PERSON
SEND,2,ORG
AFB,2,ORG
acute pathologyPlease,2,ORG
Pleae,2,PERSON
s/p Right IJ,2,ORG
PO,2,FAC
cardiomegaly,2,GPE
LEG,2,ORG
RV,2,ORG
RV,2,GPE
CT GUIDED NEEDLE PLACTMENT                  Clip,2,ORG
"PTX
 Admitting Diagnosis: RIGHT UPPER",2,FAC
CA s/p bronch,2,ORG
CTA ABD W&W,2,ORG
"s/p Pneumonectomy
 REASON FOR THIS EXAMINATION",2,ORG
followup,2,GPE
Torso,2,PERSON
Seventh,2,ORDINAL
ABDOMINAL FLUORO WITHOUT,2,PERSON
Ectasia,2,PERSON
CT GUIDED NEEDLE PLACTMENT,2,ORG
"s/p MVC
 REASON FOR THIS EXAMINATION",2,ORG
sclc,2,PERSON
Chilaiditi,2,ORG
LIVER,2,PERSON
Spiculated,2,ORG
s/p L VATS LLL,2,ORG
Peg,2,PERSON
LOC,2,PERSON
few days,2,DATE
"CT FINE NEEDLE ASP
 CT THORACENTESIS W/TUBE PLACMENT",2,ORG
s/p RUL VATS,2,ORG
s/p RULobectomy c/b RML,2,ORG
p/w hepatomegaly,2,ORG
"RIJ
 REASON FOR THIS EXAMINATION",2,LAW
Line,2,PERSON
"PULMONARY EMBOLISM
 Admitting Diagnosis",2,PERSON
NSCL CA,2,FAC
Paraspinal,2,ORG
cvl,2,ORG
one hour ago,2,TIME
Discoid,2,ORG
"SOB
  Contrast",2,ORG
three weeks ago,2,DATE
Disc,2,PERSON
SIX,2,CARDINAL
LEFT FEMUR,2,PERSON
s/p RFA,2,ORG
Melanoma,2,GPE
KKgc WED,2,PERSON
Opacification of the left hemithorax consistent,2,WORK_OF_ART
Sutures,2,PERSON
CT C-SPINE W/O CONTRAST              Clip,2,ORG
multiorgan,2,PERSON
OG Tube,2,ORG
SINGLE AP,2,ORG
"/p drainage &
  b/l pleural effusions",2,ORG
lung mass & malignant,2,ORG
orthopnea,2,GPE
ABX,2,ORG
s/p right VATS,2,ORG
Recommend followup CT to,2,ORG
Loops,2,PERSON
Calcification,2,ORG
Left pleural effusion s/p,2,FAC
"three
 months",2,DATE
Anteriorly,2,DATE
LIVER NODULES,2,PERSON
Torso CT,2,ORG
"two
 days ago",2,DATE
LL,2,ORG
s/p pleurex,2,ORG
esrd,2,GPE
Opacification of the left,2,WORK_OF_ART
Opacification of the,2,WORK_OF_ART
Contiguous CT,2,ORG
Spleen,2,NORP
infiltrat,2,GPE
Aorta,2,PRODUCT
Susceptibility,2,NORP
NMsb FRI,2,PERSON
Evolution,2,PERSON
delta ms,2,ORG
COMPLETE,2,PERSON
Initial,2,ORG
w/ APC,2,PERSON
s/p post crani,2,ORG
Hct,2,GPE
Penile,2,PERSON
L.,2,PERSON
"s/p RUL resection
 REASON FOR THIS EXAMINATION",2,ORG
"s/p RUL Lobectomy
 REASON FOR THIS EXAMINATION",2,ORG
Progressive,2,GPE
pulmonary congestion & ?,2,ORG
"the
 day",2,DATE
UIP/IPF,2,ORG
Esophagecomy,2,GPE
Fourth,2,ORDINAL
MRI Head,2,PERSON
CT NECK W/ & W/O CONTRAST                  Clip,2,ORG
COMPARISON,2,ORG
"CA
 Admitting Diagnosis",2,PERSON
"LLLectomy
 REASON FOR THIS EXAMINATION",2,ORG
LEFT MAINSTREAM BRONCHIAL,2,PERSON
s/p chemo/xrt,2,ORG
eighth,2,DATE
STitle,2,PERSON
Tuesday,2,DATE
LEFT                                  Clip,2,PERSON
NSURG,2,ORG
Cr,2,PRODUCT
HX BILAT,2,PERSON
EXT SWELLING W,2,PERSON
CERVICAL,2,ORG
"RESPIRATORY
  DISTRESS INTUBATED
 REASON FOR THIS EXAMINATION",2,ORG
MR CERVICAL SPINE W/O CONTRAST  Clip,2,ORG
"SOB s/p ex lap

 REASON",2,ORG
diverticulitis,2,PRODUCT
VISCOUS,2,PERSON
aval,2,PERSON
LEFT UPPER EXTREMITY,2,ORG
At least two,2,CARDINAL
s/p r sublavian,2,ORG
PARACENTESIS,2,ORG
asthma p/w,2,ORG
ngt,2,ORG
LES,2,ORG
the last two weeks,2,DATE
Adenoid,2,GPE
two hours ago,2,TIME
ONE DAY EARLIER,2,DATE
RUE PICC,2,ORG
"RLL Lobectomy
 REASON FOR THIS EXAMINATION",2,ORG
New NG,2,ORG
earlier in this date,2,DATE
LLL Lobectomy,2,PERSON
"s/p CT pull
 REASON FOR THIS EXAMINATION",2,ORG
Echogenic,2,PERSON
Torso CT,2,PERSON
"LIJ TL
 Admitting Diagnosis",2,ORG
NSCLC p/w SOB,2,ORG
M.                OMED,2,PERSON
Subsequent,2,PERSON
Left pulmonary,2,LOC
Bilateral,2,ORG
Renegade,2,ORG
CPR,2,ORG
hypopharynx,2,GPE
Narrowed,2,ORG
"PNA
  Contrast",2,ORG
"NSCLCA
 REASON FOR THIS EXAMINATION",2,ORG
Stable,2,PERSON
SHORTNESS,2,NORP
Sharply,2,ORG
RUL lung CA.,2,PERSON
X-RAY TO BE,2,PRODUCT
TTP,2,ORG
Assymmetry,2,ORG
pnuemonia,2,GPE
nine days,2,DATE
Non-Small,2,ORG
previous s/p right wedge biopsy,2,ORG
BILAT,2,ORG
at least,2,CARDINAL
emphysema resp,2,PERSON
METABOLIC,2,ORG
middle lung,2,GPE
SINGLE UPRIGHT VIEW OF THE CHEST,2,ORG
F/U,2,PRODUCT
RDS,2,ORG
DUPLEX DOP ABD/PEL LIMITED               Clip,2,ORG
a day before,2,DATE
the previous day's,2,DATE
adeno lung,2,PERSON
Pleurex,2,ORG
Marginal,2,DATE
NOON,2,ORG
eval s/p,2,ORG
s/p wedge resection w,2,ORG
GT,2,ORG
Port-A-Catheter,2,FAC
Left subclavian infusion,2,LOC
hours,2,TIME
CPT,2,ORG
Circular,2,PRODUCT
w/NCSLC,2,ORG
second rib end,2,DATE
IV Lung CA,2,PERSON
R&L CT,2,ORG
DECUBITUS,2,ORG
SUPINE AP CHEST RADIOGRAPH,2,ORG
"s/p L VATS
 REASON FOR THIS EXAMINATION",2,ORG
L SCV,2,NORP
Pathologic,2,PRODUCT
four years ago,2,DATE
Pleur,2,GPE
Extensive,2,WORK_OF_ART
DFDkq TUE,2,PERSON
Carcinoid,2,PERSON
"s/p RULectomy
 REASON FOR THIS EXAMINATION",2,ORG
MS,2,PERSON
hydrocephalus s/p,2,ORG
Basilic POWER PICC,2,ORG
Non Small,2,ORG
CareWeb Clinical Lookup,2,FAC
Complex,2,NORP
three hours ago,2,TIME
Epidural,2,ORG
Triplanar,2,PERSON
the same morning,2,TIME
Rads,2,PERSON
ABD,2,ORG
Neuro,2,PERSON
pleural air,2,ORG
Wheezing,2,FAC
prior day's,2,DATE
Tubes,2,PERSON
Bilat,2,GPE
EEG,2,ORG
"RT LEG ISCHEMIA
  Contrast:",2,ORG
FCC,2,ORG
LEFT VASOGENIC,2,PERSON
s/p UGI,2,ORG
"Stereotactic
  Brain",2,ORG
s/p TMA w,2,ORG
Irregular,1,NORP
Pleurodesis,1,ORG
Opacification of the ethmoid air,1,WORK_OF_ART
RUExt,1,PERSON
Opacification of the left hemithorax and mild prominence,1,WORK_OF_ART
Wernicke,1,PERSON
four-hour,1,TIME
approximately six days ago,1,DATE
p/w fatigue,1,ORG
cervical lymph,1,ORG
Videotaped,1,GPE
Castleman,1,PERSON
Periaortic,1,LOC
O/N,1,ORG
Residue,1,PERSON
"RIJ
 Admitting Diagnosis: HYPOXIA",1,WORK_OF_ART
s/p r-,1,ORG
Compression,1,PERSON
Opacification of ethmoid air cells consistent,1,WORK_OF_ART
Perm-A-Cath,1,ORG
TOF,1,ORG
RIJ,1,LAW
Thereafter,1,PERSON
Tachycardic,1,PERSON
hemorrhaqge,1,PERSON
"ENT
 REASON FOR THIS",1,FAC
Colon,1,ORG
RUL mass &,1,ORG
s/p L MCA,1,ORG
Left UE,1,FAC
FDG avidity,1,PERSON
one-cm,1,QUANTITY
Glucagon IV,1,GPE
Reevaluate,1,ORG
Recommend f/u after abx,1,ORG
USG,1,ORG
"s/p Pericardial Window
 REASON FOR THIS EXAMINATION",1,ORG
one-day,1,DATE
scan,1,NORP
"NG
 Admitting Diagnosis",1,ORG
s/p IV TPA,1,ORG
Vessels,1,ORG
s/p TBNA,1,ORG
the previous morning,1,TIME
"s/p LP
 REASON FOR THIS EXAMINATION",1,ORG
LIVER METS,1,PERSON
"s/p TBNA
 Admitting Diagnosis: RIGHT UPPER",1,ORG
Imaging,1,GPE
p/w fall,1,ORG
CAROTID,1,PRODUCT
Maxillary,1,PERSON
LA,1,GPE
Indication,1,ORG
Multiple lacunar,1,ORG
Lamina,1,GPE
"CT
 REASON FOR THIS EXAMINATION",1,ORG
hepatomegaly,1,GPE
s/p R. thoracotomy,1,ORG
CA - PREVIOUS HX OF CLOT,1,PERSON
Skinfold,1,ORG
s/p wedge resection-,1,ORG
mcg,1,TIME
Once,1,ORG
S/L Profound,1,ORG
Flush,1,PERSON
Plain,1,GPE
nectoric metastases,1,ORG
Request,1,FAC
DESCRIPTION OF,1,PERSON
Peribronchovascular,1,PRODUCT
intravoxel fat,1,ORG
HIV s/p L,1,ORG
"PET
 _",1,LAW
"CT-GUIDED BIOPSY:
 Informed",1,ORG
Presumed,1,ORG
a few minutes,1,TIME
"FLEX SIG SHOWING ACTIVE BLEEDING, NO IDENTIFI ABLE SOURCE",1,LAW
CA & PNA,1,ORG
T.,1,PERSON
"FLEX SIG SHOWING ACTIVE BLEEDING, NO IDENTIFI ABLE
 SOURCE",1,LAW
CMG,1,ORG
Metastases,1,GPE
Postgadolinium,1,ORG
"the same
  day",1,DATE
RA,1,PERSON
"carina s/p
  esophageal",1,ORG
Expansile,1,GPE
Referral,1,ORG
The Attending Radiologist,1,ORG
day,1,DATE
w/ inc,1,ORG
JRke,1,PERSON
Tracker,1,ORG
Left subclavian Port-A-Cath,1,FAC
OptEase IVC,1,ORG
Multiplanar MR,1,ORG
"CA
 REASON",1,PERSON
Infiltrating,1,GPE
CT Torso,1,ORG
Total Body,1,PERSON
"s/p d/c of all CT
 REASON FOR THIS EXAMINATION",1,ORG
only two,1,CARDINAL
NG,1,LOC
"Dl

         DR",1,ORG
vws,1,ORG
pleural air collection,1,ORG
Broken,1,PERSON
MEDIASTINUM,1,PERSON
BL pleural,1,ORG
Degree,1,PERSON
NECROTIZING BRONCHIAL STUMP,1,PERSON
COP,1,ORG
"ICH/CVA
 No contraindications",1,ORG
ICH/CVA,1,ORG
"the
 Neurosurgical Service",1,ORG
Revah,1,WORK_OF_ART
three to four,1,CARDINAL
Punctate,1,LOC
Stent,1,PERSON
CytoLite,1,PRODUCT
GEJ,1,ORG
the earlier (pre-embolization,1,DATE
s/p R VATS w/p RU,1,ORG
Diffusion,1,LOC
NEED TO ASSESS,1,PERSON
"IR
 Admitting Diagnosis: INFERIOR MYOCARDIAL INFARCTION\CATH
 ********************************* CPT Codes",1,ORG
myelomalacia,1,CARDINAL
"s/p RML / RLL
 Admitting Diagnosis",1,ORG
s/p RML / RLL,1,ORG
Myocardial,1,NORP
Overlying,1,GPE
HIP,1,ORG
claustrophobia,1,GPE
the IVC,1,ORG
"s/p RUL lobectomry
 REASON FOR THIS EXAMINATION",1,ORG
s/p redo right thoracotomy,1,ORG
"s/p GTC
 REASON FOR THIS EXAMINATION",1,ORG
sixteen hours,1,TIME
Preop CT,1,WORK_OF_ART
CONSCIOUS,1,ORG
CT GUIDED FLUID ASPIRATION:,1,ORG
Opacification of the pulmonary arteries,1,WORK_OF_ART
Medical Associates,1,ORG
Needs,1,ORG
intraparenchymal fluid,1,PERSON
Satellite,1,ORG
Necrotic,1,ORG
s/p RULobectomy w/ LLL,1,ORG
Prior,1,PERSON
"CT
 angiogram sign",1,WORK_OF_ART
Left lung pulmonary vessels,1,PERSON
Middle Third,1,LOC
a couple of cm,1,QUANTITY
MR-,1,PRODUCT
Gadavist,1,NORP
n/w CT,1,ORG
one minute,1,TIME
CA s/p bioccipital crani,1,PERSON
"s/p HD
 Admitting Diagnosis: SHORTNESS OF",1,ORG
Lung Cancer,1,PERSON
Venous,1,PERSON
Tube Feed,1,PERSON
Examination of the parenchyma reveals,1,ORG
years,1,DATE
s/p HD,1,ORG
"RENAL FUNCTION
 Admitting Diagnosis",1,PERSON
ABDOMINOPELVIC,1,ORG
Right IJ Swan-Ganz,1,EVENT
Pericarditis,1,GPE
Acute MI,1,ORG
Pericardiocentesis,1,PERSON
Echo,1,LOC
Line,1,LOC
approximately noon,1,TIME
Chest CTA,1,PRODUCT
Smaller,1,PERSON
cavernomas,1,ORG
PCI,1,ORG
"s/p pericardiocentesis
 REASON FOR THIS EXAMINATION",1,ORG
Stereotactic CT,1,ORG
SP Lobectomy,1,PERSON
w/ inc hypoxia  s/p,1,ORG
medulla oblongata,1,PERSON
Innumerable,1,LOC
Phleboliths,1,PERSON
Vascularity,1,ORG
intracranial mass.,1,ORG
less than five hours,1,TIME
PHmb MON,1,ORG
Lytic,1,LOC
"Pneumo
 Admitting Diagnosis",1,PERSON
CA lung,1,PERSON
Recommendation for ETT,1,ORG
"s/p
  cerebellar mets resection",1,ORG
Intraoperative,1,ORG
Risks,1,ORG
"chf,",1,ORG
CXRY b/w,1,ORG
Sequence,1,ORG
"M.D.
 _",1,ORG
Left subclavian artery,1,LOC
Pneumo,1,PERSON
just one day ago,1,DATE
Referred,1,ORG
"Pneumothorax
 Admitting Diagnosis",1,PERSON
Irregularity,1,ORG
Thorcic,1,ORG
the past several months,1,DATE
ten,1,CARDINAL
"Hct s/p R Pneumonectomy
 REASON FOR THIS EXAMINATION",1,ORG
Clot,1,ORG
tympanic,1,CARDINAL
tympanic,1,DATE
"s/p ETT
 REASON FOR THIS EXAMINATION",1,ORG
the Omniflush,1,EVENT
NSCLC s/p extubation for hypoxia,1,ORG
LSC CVL OK,1,PERSON
GE jxn - shd,1,ORG
Hepatitis C,1,ORG
"the exam six hours
  earlier",1,TIME
FINDINGS FOR CT OF THE,1,ORG
some six and,1,CARDINAL
HL,1,GPE
RU Lobectomy,1,PERSON
RU,1,PERSON
RA,1,GPE
Transcend,1,PERSON
L PICC,1,GPE
HYPERINTENSE,1,ORG
"this
  morning",1,TIME
Sharp,1,ORG
LEFT PLEURAL EFFUSION,1,FAC
FLUID-FLUID,1,NORP
"s/p RU Lobectomy
 REASON FOR THIS EXAMINATION",1,ORG
yearly,1,DATE
"SubQemphysema
 REASON FOR THIS EXAMINATION",1,ORG
AP SUPINE BEDSIDE RADIOGRAPH OF THE CHEST,1,ORG
s/p PCI,1,ORG
"multiorgan
 metastases",1,ORG
SCOLIOSIS,1,ORG
Regions,1,PERSON
Marked,1,LANGUAGE
UPPER GI,1,FAC
AST/ALT/ALP,1,ORG
Atrius,1,ORG
One and a half weeks,1,CARDINAL
Gallstone pancreatitis,1,PERSON
"ASAP
 Admitting Diagnosis",1,FAC
SOB s/p FFP x,1,ORG
ANKLE,1,ORG
Atrium,1,GPE
CFA,1,ORG
MPtb WED,1,PERSON
PROTEINACEOUS/HEMORRHAGIC IN SEGMENT III,1,ORG
BOPTA,1,PERSON
Surgical,1,NORP
PET/CT OR,1,ORG
RESPIRATORY DIFFICULTIES,1,PERSON
knon emphysema,1,PERSON
ABDOMEN U.S.,1,ORG
Doubt CHF,1,ORG
PAF,1,ORG
Cavogram,1,ORG
the end of the,1,DATE
non-Hodgkin,1,NORP
Seven hours,1,TIME
NHL p/w,1,ORG
Three days,1,DATE
Crohn,1,PERSON
eighth,1,CARDINAL
AICD,1,ORG
s/p RUL/RLL,1,ORG
LAT C-SPINE,1,ORG
s/p R Pigtail,1,ORG
three- minute,1,TIME
s/p RLLobectomy,1,ORG
s/p rt thoracotomy,1,ORG
RESPIRATORY MOTION,1,PERSON
"s/p RUlobectomy
 REASON FOR THIS EXAMINATION",1,ORG
"three
 days",1,DATE
HYPERINTENSE,1,GPE
EQUILIBRIUM,1,ORG
"DVT
 REASON FOR THIS EXAMINATION",1,ORG
HYPOXEMIA,1,CARDINAL
COMBINATION,1,GPE
s/p RULobectomy c/b large airleak s/p,1,ORG
Pacemaker,1,LAW
Tumor,1,ORG
RA/RV,1,ORG
STENOSIS,1,ORG
DUPLEX DOP ABD/PEL LIMITED                     Clip,1,ORG
exam eight hours earlier,1,TIME
Repeat,1,GPE
Hyperexpanded,1,ORG
Acute SOB,1,PRODUCT
F w/ NSLC,1,ORG
two-thirds,1,CARDINAL
Matched,1,NORP
Dense,1,PERSON
Left cerebellar hemisphere hemorrhagic metastasis,1,LOC
a day and a half ago,1,DATE
Month/Day,1,DATE
CLAMP,1,ORG
"s/p lt CT d/c
 _",1,ORG
Horner,1,ORG
s/p LULobectomy/LLL,1,ORG
"s/p lt CT d/c
 Admitting Diagnosis",1,ORG
s/p R.,1,ORG
"s/p R. pneumonectomy
 REASON FOR THIS EXAMINATION",1,ORG
Scout,1,PERSON
s/p aborted,1,ORG
eval s/p stent,1,ORG
s/p picc placment,1,ORG
RFA,1,ORG
Zosyn,1,GPE
confirm ngt,1,ORG
Collapse,1,PERSON
"OGT
 Admitting Diagnosis: HEMOPTYSIS
 _",1,ORG
INTERVENOUS,1,ORG
EVSL FRO HYDO,1,ORG
IPF-UIP,1,ORG
LUL & L,1,ORG
FLAIR,1,LAW
ett &,1,ORG
Opacification of the mid,1,WORK_OF_ART
LEFT         Clip,1,PERSON
ett & ogt,1,ORG
L LE,1,ORG
Mediastinal Lymphadenopathy,1,PERSON
Sixty-two year old,1,DATE
Achilles,1,PERSON
S/p biopsy,1,ORG
HAZY OPACITY SURROUNDING THIS,1,FAC
"RBI
 REASON FOR THIS EXAMINATION",1,LAW
LIKELY,1,PERSON
Opacification of the left upper lobe,1,WORK_OF_ART
Steri-Strips,1,ORG
yellowish fluid,1,PERSON
"the seventh, eighth",1,DATE
Vortex Platinium,1,ORG
Lesion five,1,CARDINAL
earlier the same evening,1,TIME
EGD NEGATIVE,1,ORG
Technique,1,PERSON
Desaturated,1,ORG
mca,1,ORG
"DUPLEX DOP ABD/PEL LIMITED
 Reason",1,ORG
the pleura (series,1,ORG
"NEEDLE BIO                                         *
 **",1,ORG
"PNA/PE
 REASON FOR THIS EXAMINATION",1,ORG
"the
 same day",1,LOC
approximately nine hours earlier,1,TIME
DBzc,1,ORG
vocla cord mass,1,ORG
Collapse,1,PRODUCT
@@@@@@@@@@@@@@,1,PRODUCT
likley sequela,1,PERSON
afib w/rvr,1,ORG
S.,1,ORG
"LUL
 REASON FOR THIS EXAMINATION",1,ORG
IV Ancef,1,PERSON
Lesser,1,PERSON
O.R.                                    Clip,1,ORG
Request CT,1,ORG
AP &,1,ORG
LOCALIZATION,1,PERSON
every hour,1,TIME
RIJClinical Question,1,ORG
ARTIFACTS,1,ORG
P L,1,ORG
LEFT ATRIAL,1,PERSON
RMLectomy,1,ORG
Picc,1,ORG
THORACOLUMBAR SPINE,1,ORG
"Picc
 Admitting Diagnosis",1,ORG
W/AP CHEST                                           Clip,1,ORG
CCC,1,PERSON
"BILAT DUPLEX TO ASSESS FOR DVT
 Admitting Diagnosis: PULMONARY EMBOLIS
 _",1,ORG
OMU,1,ORG
Upper,1,PERSON
two months ago,1,DATE
GPB,1,ORG
Found,1,PERSON
RL,1,PERSON
Lobectomies,1,PERSON
"s/p RML/RLL
 REASON FOR THIS EXAMINATION",1,ORG
emphysema s/p VATS,1,PERSON
Likley,1,PERSON
TBBX,1,ORG
neoplasia,1,GPE
Two centimeter,1,QUANTITY
"the
 Emergency Department",1,ORG
aorta & in,1,ORG
SubQ,1,PERSON
LUMBAR SPINE,1,ORG
chr,1,ORG
cerebellar infarct,1,PERSON
Encephalopathy,1,PERSON
p/w aphasia & R,1,ORG
max sinus dz,1,PERSON
Remainder,1,PERSON
Reexpansion of the right lung,1,WORK_OF_ART
the exam six hours,1,TIME
Aerosolized,1,NORP
RECOMMEND,1,ORG
FINDINGS DISCUSSED WITH,1,ORG
Aspergillus,1,ORG
claustrophobia,1,ORG
FINDINGS FOR CT OF THE ABDOMEN,1,ORG
FINDINGS FOR CT OF THE CHEST WITH IV CONTRAST,1,ORG
Localizer,1,PERSON
LUQ,1,ORG
thrombus formationa,1,ORG
Rt ACOM,1,PERSON
VATS,1,GPE
cerebellar encephalomalacia,1,PERSON
pan-CT,1,ORG
Mastoid,1,PERSON
RADIOPGRAPH,1,PERSON
Stable Moderate,1,ORG
Dysphagia,1,PERSON
KMcd,1,GPE
wednesday,1,DATE
L lung adenoca,1,GPE
Propeller,1,ORG
Repeat Cyberknife,1,WORK_OF_ART
Nine hours earlier,1,TIME
w,1,ORG
yo man w/h/o,1,PERSON
LUNG CA TO,1,PERSON
CA S/P,1,ORG
LEFT                                      Clip,1,PERSON
Exophytic,1,NORP
three-month,1,DATE
"E.D.
 REASON FOR THIS EXAMINATION",1,ORG
"PNA s/p intubation
 REASON FOR THIS EXAMINATION",1,ORG
RLL Stage,1,ORG
"PTX
 REASON FOR THIS EXAMINATION",1,FAC
"the
 CT",1,ORG
Left lung apex,1,LOC
R PTX,1,PRODUCT
s/p right post-[**Last Name,1,ORG
s/p sub occipital crani,1,ORG
PT WAND STUDY TO BE,1,ORG
Med LAD SP,1,ORG
LLung,1,ORG
"approximately one
 hour",1,TIME
s/p s,1,LAW
MARKED,1,DATE
Left lung mass.,1,PERSON
NMsb WED,1,PERSON
Slighlty,1,ORG
man w/h/o bronchogenic ca,1,ORG
w/ ass'td,1,PERSON
Comparing,1,ORG
CXR &,1,ORG
Vanco,1,PERSON
Strandy,1,PERSON
fifteen hours earlier,1,TIME
cachexia,1,GPE
Reevaluation,1,PERSON
Sidehole,1,NORP
Substantially,1,PERSON
Hypercarbic,1,PERSON
Left lung mass,1,PERSON
earlier in day,1,DATE
Vs,1,PRODUCT
Grossly,1,PERSON
"s/p stereotactic biopsy
 REASON FOR THIS EXAMINATION",1,ORG
"PICA
 origin on",1,ORG
PS/PEEP,1,ORG
Left ICA,1,PRODUCT
the Interventional Neuroradiology Theater,1,ORG
RT FRONTAL,1,ORG
SCC s/p,1,ORG
"three hours'
 time",1,TIME
w/ COPD,1,PERSON
Stents,1,ORG
PNA & COPD,1,ORG
THURSDAY,1,DATE
UA,1,ORG
"Left
 PICA",1,FAC
NOW W/ SOB,1,ORG
NON-CONTRAST CT OF THE,1,ORG
Varying,1,PERSON
Evaluate PICC,1,FAC
Faint,1,LOC
two or three,1,CARDINAL
lung malignancy,1,PERSON
Strictures,1,PERSON
fu,1,PERSON
Medical Center,1,ORG
"RV
 Admitting Diagnosis",1,PERSON
eval lung fields s/p,1,PERSON
pons,1,PERSON
infarct,1,PERSON
Left PTX.,1,FAC
CA SP,1,PRODUCT
rul lung,1,PERSON
Mickaelson,1,PERSON
Fistula,1,PERSON
intraparenchymal,1,PERSON
sclc s,1,PERSON
LUL CA,1,ORG
III NSCLC,1,ORG
OOB,1,ORG
Dementia,1,PERSON
lung adenocarcinoma s/p LUL,1,PERSON
Sepsis,1,NORP
ovoid fluid,1,PERSON
versus,1,ORG
PHONE,1,ORG
GB,1,PERSON
p/w N/V/EKG,1,ORG
Chest CTA,1,ORG
less than yesterday,1,DATE
the span of nine days,1,DATE
CELIAC TRUNK,1,PERSON
two and a,1,DATE
s/p stereotactic biopsy,1,ORG
argon lazser,1,PERSON
GTube,1,ORG
hemorrhagic pulmonary metastasis,1,ORG
"the ETT
 Admitting Diagnosis",1,ORG
Midline,1,GPE
Lung Ca s/p,1,PERSON
carcinoma s/p thoracentesis,1,ORG
Microangiopathic,1,PERSON
Mesothelioma,1,ORG
gastric node,1,PERSON
s/p extubation failure,1,ORG
Metastatsis,1,ORG
Continued fluid,1,PERSON
Glidewire,1,PRODUCT
Mikaelsson,1,ORG
EMBOLIZATION,1,DATE
Sedation,1,ORG
Bronchoceles,1,PERSON
"LUNG CANCER;TRACEAL FISTULA
 Admitting Diagnosis",1,PERSON
Bronch'ed,1,GPE
three- to six-month,1,DATE
IV Optiray,1,PERSON
mm epicardial node,1,PERSON
JWK,1,ORG
mm node,1,PERSON
S/P Esophageal,1,ORG
Left CVL,1,FAC
"two
 weeks",1,DATE
ARTS,1,ORG
MPtb FRI,1,PERSON
the day of the,1,DATE
Left CVL,1,PRODUCT
IBS,1,ORG
Minimal SI,1,NORP
s/p fall p/w,1,ORG
three-quarters,1,DATE
fluid & AFL,1,ORG
Anterior,1,PERSON
findings--,1,ORG
Unchanged NSCLC,1,ORG
Question ET,1,ORG
SCC CA,1,PRODUCT
"CVL
 REASON FOR THIS EXAMINATION",1,ORG
lung mass p/w,1,ORG
Apparent,1,LOC
Lung CA s/p CABG/Mediastinal Lymph Node Dissection,1,PERSON
Ischemia,1,ORG
thyroid nodule,1,PERSON
Bland,1,PERSON
"PTX/Effusion/Tamponade
 Admitting Diagnosis",1,ORG
jejunum distal,1,PERSON
Evaluate LLung,1,PERSON
GADOLINIUM ENHANCEMENT,1,ORG
O.R.                                              Clip,1,ORG
fingerbreadths,1,CARDINAL
Gad,1,ORG
Blebs,1,LOC
Hickman,1,PERSON
DLBCL,1,ORG
Five hours,1,TIME
Left juxtahilar,1,LOC
Ejection fraction,1,LAW
One to three minutes,1,TIME
Sixty-nine year old,1,DATE
s/p CVA/MI,1,ORG
BILAT LOWER EXT VEINS,1,ORG
CT NECK W/,1,ORG
SClung CA,1,PERSON
Intersticial,1,ORG
just over three-quarters,1,CARDINAL
Infiltrative,1,ORG
"s/p L Pneumenecotmy
 REASON FOR THIS EXAMINATION",1,ORG
"Vaxcel
 PICC",1,FAC
Op-Site,1,ORG
Nitinol,1,PERSON
CA s/p subclavian line,1,ORG
L NC,1,GPE
Abundant,1,ORG
Cardiopericardial,1,ORG
w/ NGT,1,ORG
Wand,1,GPE
Pneumonectomy,1,GPE
s/p pneumonectomy w/,1,ORG
Tubular,1,ORG
Thin nectar,1,ORG
"s/p right resection
 REASON FOR THIS EXAMINATION",1,ORG
p.e.,1,GPE
centimeter,1,CARDINAL
PT,1,PERSON
mastoid air,1,ORG
IJV,1,ORG
Aorta,1,GPE
Stable,1,CARDINAL
LOCknown,1,ORG
SVC,1,LOC
middle,1,GPE
Precedex,1,PERSON
Vena-Tech,1,ORG
"Echo
 Planar",1,FAC
s/p VATS RULobectomy,1,ORG
Radiographic,1,ORG
s/p  VATS  RULobectomy,1,ORG
Tarceva,1,LOC
LCpc,1,PRODUCT
Kommerell,1,ORG
Bronchoscopic,1,PERSON
"Staging CT
 to evaluate disease below the diaphragm",1,WORK_OF_ART
earlier tonight,1,TIME
Ascending,1,PERSON
s/p Stx Bx,1,ORG
